"Keyword Phrase","ABA Total Click Share","ABA Total Conv. Share","Keyword Sales","Cerebro IQ Score","Search Volume","Search Volume Trend","Sponsored ASINs","Competing Products","CPR","Title Density","Organic","Sponsored Product","Amazon Recommended","Amazon Choice","Highly Rated","Sponsored Brand Header","Sponsored Brand Video","Top Rated From Our Brand","Trending Now","Amazon Rec. Rank","Sponsored Rank","Organic Rank"
"daflon generico",,,"-",3588,183,13,0,51,8,0,1,0,0,0,0,0,0,0,0,"-","-",9
"gonfiore gambe e caviglie",,,"-",43,86,41,57,2000,8,0,1,0,0,0,0,0,0,0,0,"-","-",9
"integratori per gambe stanche e pesanti",,,"-",1930,303,-20,83,157,8,0,1,0,0,0,0,0,0,0,0,"-","-",9
"diosmina bromelina",,,"-",875,182,-27,72,208,8,0,1,1,1,0,0,0,0,0,0,32,1,9
"vein lift",,,"-",6875,385,33,33,56,8,0,1,0,0,0,0,0,0,0,0,"-","-",9
"snella system plus lipedema forte",,,"-",8545,282,-48,20,33,8,0,1,0,0,0,0,0,0,0,0,"-","-",9
"daflon",42.2,35.9,39,43285,6233,-28,131,144,32,0,1,0,1,0,0,0,0,0,0,19,"-",10
"diosmina esperidina",47.5,37.5,128,128232,10515,-2,60,82,43,18,1,1,1,0,0,0,0,0,0,10,13,10
"daflon 500 compresse",41.6,30.2,43,73074,6869,-39,13,94,32,0,1,0,1,0,0,0,0,0,0,17,"-",10
"riposagambe",,,"-","-",0,"-",53,40000,8,0,1,0,0,0,0,0,0,0,0,"-","-",10
"integratore gambe pesanti e gonfie",,,"-","-",0,"-",42,252,8,0,1,0,0,0,0,0,0,0,0,"-","-",10
"caviglie gonfie rimedi",,,"-",1724,150,-20,53,87,8,0,1,1,0,0,0,0,0,0,0,"-",8,10
"integratore microcircolo gambe",,,"-",928,398,-27,128,429,8,4,1,0,0,0,0,0,0,0,0,"-","-",10
"gambe leggere integratore",,,"-",1121,287,-15,91,256,8,1,1,1,0,0,0,0,0,0,0,"-",10,10
"diosmina + esperidina",,,"-",1269,184,-38,50,145,8,2,1,1,0,0,0,0,0,0,0,"-",8,10
"conversol miavola",75.8,63.6,11,101680,2542,-32,29,25,27,0,1,0,0,0,0,0,0,0,0,"-","-",10
"vein lift vene varicose",,,"-",1171,130,-30,41,111,8,0,1,0,0,0,0,0,0,0,0,"-","-",10
"venaslim leg",,,"-",8951,367,26,54,41,8,0,1,1,0,0,0,0,0,0,0,"-",11,10
"venalex",,,"-","-",0,"-",38,68,8,1,1,1,0,0,0,0,0,0,0,"-",4,11
"microcircolo",36.1,28.6,14,235,1176,-34,159,5000,38,40,1,1,0,0,0,0,0,0,0,"-",20,11
"integratore gambe gonfie",,,"-","-",0,"-",65,309,8,0,1,0,0,0,0,0,0,0,0,"-","-",11
"cerotti per vene varicose",,,"-",1143,311,-43,144,272,8,17,1,1,0,0,0,0,0,0,0,"-",9,11
"varicolift vene varicose e capillari",30.6,,"-",6604,918,-36,91,139,12,0,1,1,1,0,0,0,0,0,0,8,6,11
"amazon farmacia on line",,,"-",5946,333,"-",24,56,8,0,1,0,0,0,0,0,0,0,0,"-","-",11
"venatropen gel gambe",,,"-",2939,338,-32,81,115,8,0,1,0,0,0,0,0,0,0,0,"-","-",11
"pure essential circulation",,,"-",13125,210,-31,78,16,8,0,1,1,0,0,0,0,0,0,0,"-",11,11
"florisma riparazione delle vene",,,"-",30333,364,-37,21,12,8,2,1,1,0,0,0,0,0,0,0,"-",8,11
"crema per capillari rotti",,,"-","-",0,"-",24,49,8,9,1,0,0,0,0,0,0,0,0,"-","-",12
"integratori gambe gonfie",,,"-","-",0,"-",102,379,8,0,1,1,0,0,0,0,0,0,0,"-",4,12
"cardione capsule pulizia vene",,,"-",14143,396,4,14,28,8,0,1,0,0,0,0,0,0,0,0,"-","-",12
"crema microcircolo gambe",,,"-",1219,423,27,131,347,8,0,1,1,0,0,0,0,0,0,0,"-",9,12
"varico lift vene varicose e capillari",,,"-",568,96,-33,65,169,8,0,1,1,0,0,0,0,0,0,0,"-",7,12
"cerotti per vene varicose gambe",,,"-",1084,259,-4,93,239,8,0,1,1,0,0,0,0,0,0,0,"-",9,12
"integratore lipedema gambe",,,"-",339,114,-46,63,336,8,0,1,1,0,0,0,0,0,0,0,"-",12,12
"varikomed",,,"-",12200,366,19,26,30,8,0,1,0,0,0,0,0,0,0,0,"-","-",12
"rimedi gambe gonfie",,,"-","-",0,"-",48,159,8,0,1,0,0,0,0,0,0,0,0,"-","-",13
"circolazione gambe drenante e microcircolo",,,"-",1009,337,"-",101,334,8,2,1,0,1,0,0,0,0,0,0,58,"-",13
"venovigor",,,"-",11429,400,14,24,35,8,1,1,0,0,0,0,0,0,0,0,"-","-",13
"biovari crema per le vene varicose",,,"-",3970,397,-2,71,100,8,0,1,1,0,0,0,0,0,0,0,"-",5,13
"esi erbaven",,,"-",6156,197,-29,10,32,8,4,1,0,0,0,0,0,0,0,0,"-","-",14
"diosmin",,,"-",1351,208,-54,55,154,8,3,1,0,1,0,0,0,0,0,0,20,"-",14
"gambe pesanti e doloranti",,,7,307,307,-59,208,1000,8,2,1,0,0,0,0,0,0,0,0,"-","-",14
"diosmectal",85.1,84.6,13,44650,1786,-17,19,40,27,2,1,1,0,0,0,0,0,0,0,"-",3,14
"daflon 500",42.7,,5,21868,1990,-34,55,91,27,0,1,0,1,0,0,0,0,0,0,1,"-",15
"crioven 500 bustine",,,"-",14480,362,-3,14,25,8,0,1,0,0,0,0,0,0,0,0,"-","-",15
"vene varicose come curarle",,,"-",305,18,-24,12,59,8,0,1,0,0,0,0,0,0,0,0,"-","-",15
"diosmectal go",88.7,66.7,24,100917,2422,-31,6,24,28,2,1,0,0,0,0,0,0,0,0,"-","-",15
"venolen plus compresse 60",,,"-",4846,252,-33,21,52,8,0,1,0,0,0,0,0,0,0,0,"-","-",15
"diosmina sandoz",41,25,4,8585,704,-35,43,82,10,1,1,1,1,0,0,0,0,0,0,24,18,16
"emorroidi sanguinanti",,,"-","-",0,"-",1,53,8,0,1,0,0,0,0,0,0,0,0,"-","-",16
"spermidina pura alto dosaggio",62.6,58.3,24,62333,2244,-3,24,36,29,6,1,1,0,0,0,0,0,0,0,"-",9,16
"lipedema gambe bromelina",,,"-",1204,343,"-",99,285,8,0,1,0,0,0,0,0,0,0,0,"-","-",16
"venactis gel capillari",,,"-",3958,376,-8,43,95,8,0,1,0,0,0,0,0,0,0,0,"-","-",16
"essaven active compresse",,,8,13500,324,-42,15,24,8,0,1,0,0,0,0,0,0,0,0,"-","-",16
"venalix crema gambe",,,"-",1875,210,-54,78,112,8,0,1,1,0,0,0,0,0,0,0,"-",19,16
"hamolind emorroidi",78.6,66.7,3,35767,1073,-48,0,30,26,0,1,0,1,0,0,0,0,0,0,6,"-",17
"bromelina 1000 mg",,,"-","-",0,"-",66,249,8,2,1,0,0,0,0,0,0,0,0,"-","-",17
"mioven 700 compresse",,,"-",8838,327,-36,23,37,8,0,1,0,0,0,0,0,0,0,0,"-","-",17
"gambe gonfie rimedi",,,"-","-",0,"-",54,213,8,0,1,1,0,0,0,0,0,0,0,"-",10,17
"diosmin expert omniven 500",,,"-",8636,285,-26,35,33,8,0,1,0,0,0,0,0,0,0,0,"-","-",17
"crema vene varicose e capillari eco bio boutique",,,"-",2256,300,8,86,133,8,0,1,1,0,0,0,0,0,0,0,"-",7,17
"integratore microcircolo e drenante gambe",,,"-",51,23,-35,70,454,8,0,1,1,0,0,0,0,0,0,0,"-",11,17
"eco bio boutique capillari e vene",,,"-",2945,268,-42,49,91,8,0,1,0,0,0,0,0,0,0,0,"-","-",17
"spermidina integratore alto dosaggio",,,"-","-",0,"-",16,37,8,1,1,0,0,0,0,0,0,0,0,"-","-",17
"crema corpo vene varicose e capillari",,,"-",2133,384,23,114,180,8,0,1,0,0,0,0,0,0,0,0,"-","-",17
"linfedema gambe",,,"-",264,264,-15,164,1000,8,0,1,0,0,0,0,0,0,0,0,"-","-",17
"centellix patch gambe stanche",,,"-",6455,142,-21,12,22,8,0,1,0,0,0,0,0,0,0,0,"-","-",17
"rusco",,,"-",773,320,-21,121,414,8,31,1,0,0,0,0,0,0,0,0,"-","-",18
"sgonfia gambe",,,"-",193,193,-25,136,1000,8,0,1,0,0,0,0,0,0,0,0,"-","-",18
"creme capillari gambe",,,"-","-",0,"-",75,271,8,0,1,0,0,0,0,0,0,0,0,"-","-",18
"dinaven 500",81.8,69,29,47447,1803,-1,33,38,27,2,1,1,0,0,0,0,0,0,0,"-",4,18
"crema per capillari gambe",,,"-",729,248,-33,129,340,8,0,1,1,0,0,0,0,0,0,0,"-",4,18
