"Keyword Phrase","ABA Total Click Share","ABA Total Conv. Share","Keyword Sales","Cerebro IQ Score","Search Volume","Search Volume Trend","Sponsored ASINs","Competing Products","CPR","Title Density","Organic","Sponsored Product","Amazon Recommended","Amazon Choice","Highly Rated","Sponsored Brand Header","Sponsored Brand Video","Top Rated From Our Brand","Trending Now","Amazon Rec. Rank","Sponsored Rank","Organic Rank"
"vesvein gambe 60",87.2,100,8,33286,699,-37,24,21,10,0,1,0,0,0,0,0,0,0,0,"-","-",18
"emorroidi",44.9,28.2,39,451,4514,"-",8,10000,36,19,1,0,1,0,0,0,0,0,0,19,"-",19
"circolazione gambe",29.5,12.5,8,30,1180,-26,238,40000,28,7,1,0,0,0,0,0,0,0,0,"-","-",19
"microcircolo integratori",,,"-",91,79,-18,85,870,8,0,1,0,0,0,0,0,0,0,0,"-","-",19
"integratore gambe pesanti",,,"-","-",0,"-",83,341,8,1,1,0,0,0,0,0,0,0,0,"-","-",19
"daflon 500 60 compresse originale",,,"-","-",0,"-",8,9,8,0,1,0,0,0,0,0,0,0,0,"-","-",19
"venalex 500",,,"-","-",0,"-",26,55,8,1,1,0,0,0,0,0,0,0,0,"-","-",19
"integratori vene varicose",,,"-","-",0,"-",19,169,8,0,1,0,0,0,0,0,0,0,0,"-","-",19
"diaform rx",,,"-",4412,150,-26,9,34,8,4,1,0,0,0,0,0,0,0,0,"-","-",19
"venatropen plus",,,"-",9150,366,-40,23,40,8,2,1,0,0,0,0,0,0,0,0,"-","-",19
"soppressore appetito",,,"-",491,348,-11,145,709,8,0,1,0,0,0,0,0,0,0,0,"-","-",20
"integratore alimentare per circolazione gambe",,,"-",1178,291,-21,96,247,8,0,1,0,1,0,0,0,0,0,0,30,"-",20
"integratore per vene varicose",,,"-",128,24,-46,56,187,8,0,1,0,0,0,0,0,0,0,0,"-","-",20
"pastiglie per smettere di fumare",,,"-",4219,308,-15,53,73,8,0,1,0,0,0,0,0,0,0,0,"-","-",20
"integratori vene varicose e capillari",,,"-",448,77,-33,46,172,8,0,1,0,0,0,0,0,0,0,0,"-","-",20
"integratore per gambe pesanti e stanchezza",,,"-",1408,214,-9,96,152,8,0,1,0,0,0,0,0,0,0,0,"-","-",20
"diosmina e centella asiatica",,,"-",1560,220,-28,55,141,8,0,1,1,0,0,0,0,0,0,0,"-",6,20
"flebinec",,,"-",9778,352,-25,29,36,8,3,1,0,0,0,0,0,0,0,0,"-","-",21
"venoruton 1000 30 bustine offerta",51.8,20,5,17306,1073,-31,41,62,26,0,1,0,1,0,0,0,0,0,0,29,"-",21
"venoplant",,,"-",6957,327,-27,61,47,8,4,1,0,0,0,0,0,0,0,0,"-","-",22
"integratori gambe",,,"-","-",0,"-",101,2000,8,0,1,0,0,0,0,0,0,0,0,"-","-",22
"integratore gambe circolazione",,,"-",959,419,-12,137,437,8,0,1,0,0,0,0,0,0,0,0,"-","-",22
"emorroidi compresse",,,"-",780,78,-15,35,100,8,0,1,0,1,0,0,0,0,0,0,27,"-",22
"fexallegra antistaminico",,,"-",4217,97,"-",10,23,8,0,1,0,0,0,0,0,0,0,0,"-","-",22
"dinaven 1000 60 compresse",,,"-",357,40,11,25,112,8,0,1,0,0,0,0,0,0,0,0,"-","-",22
"integratori gambe circolazione",,,"-",901,292,-13,87,324,8,0,1,0,0,0,0,0,0,0,0,"-","-",22
"spermidina pura alto dosaggio",62.6,58.3,24,62333,2244,-3,24,36,29,6,1,1,0,0,0,0,0,0,0,"-",11,22
"circolazione sanguigna",,,"-","-",0,"-",89,50000,8,10,1,0,0,0,0,0,0,0,0,"-","-",23
"diosmectite",,,"-",3659,161,-17,3,44,8,7,1,0,0,0,0,0,0,0,0,"-","-",23
"integratore capillari gambe",,,"-","-",0,"-",59,129,8,0,1,0,0,0,0,0,0,0,0,"-","-",23
"integratori vene e capillari",,,"-","-",0,"-",55,182,8,0,1,0,0,0,0,0,0,0,0,"-","-",23
"venactum",,,"-",11081,410,2,37,37,8,0,1,0,1,0,0,0,0,0,0,52,"-",23
"k53 advance kijimea",91.6,85.7,14,54742,1697,7,11,31,26,0,1,0,0,0,0,0,0,0,0,"-","-",23
"gonfiore gambe e caviglie",,,"-",43,86,41,57,2000,8,0,1,0,0,0,0,0,0,0,0,"-","-",23
"emorroidi integratore",,,"-",598,67,57,19,112,8,0,1,0,0,0,0,0,0,0,0,"-","-",23
"integratori emorroidi",,,"-","-",0,"-",19,124,8,0,1,0,1,0,0,0,0,0,0,14,"-",24
"emortrofine oro",74.2,75,4,20444,552,-5,0,27,9,0,1,0,0,0,0,0,0,0,0,"-","-",24
"antistax",,,"-",5424,358,-54,71,66,8,3,1,0,1,0,0,0,0,0,0,50,"-",25
"venasal salugea",,,1,5082,310,-60,36,61,8,1,1,0,0,0,0,0,0,0,0,"-","-",25
"pentaven fast 500 compresse",,,"-",6333,171,-38,16,27,8,0,1,0,0,0,0,0,0,0,0,"-","-",25
